Designator,Mid X,Mid Y,Rotation,Layer
C201,14.95,49.0,0.0,top
C202,14.95,46.0,180.0,top
C203,28.375,38.52,270.0,top
C204,21.86,38.75,270.0,top
C205,23.52,21.375,0.0,top
C206,23.4,22.625,0.0,top
C207,26.48,21.375,180.0,top
C208,26.6,22.625,180.0,top
C209,36.95,46.0,0.0,top
C210,36.95,49.0,0.0,top
C301,76.125,31.5,0.0,top
C302,93.375,59.45,0.0,top
C303,71.0,31.625,180.0,top
C304,71.2,21.2,180.0,top
C305,92.979505,54.180242,180.0,top
C306,94.075,29.375,180.0,top
C307,82.525,44.65,180.0,top
C308,83.725,55.675,270.0,top
C309,93.275,25.325,180.0,top
C310,81.725,55.435,270.0,top
C311,82.95,21.2,180.0,top
C312,78.25,47.925,0.0,top
C313,74.675,43.175,90.0,top
C314,93.9,42.675,90.0,top
C315,80.775,34.75,180.0,top
C316,63.75,44.925,270.0,top
C317,80.775,31.5,180.0,top
C318,74.675,51.6,90.0,top
C319,89.425,31.5,0.0,top
C320,89.425,34.75,0.0,top
C401,70.48,66.7375,180.0,top
C402,69.25,64.0675,90.0,top
C403,61.366797,56.566798,315.0,top
C404,79.48,66.7375,180.0,top
C405,61.48,66.7375,180.0,top
C406,51.25,64.1125,90.0,top
C407,52.48,66.7375,180.0,top
D301,92.775,57.125,0.0,top
D302,77.125,37.45,270.0,top
D303,93.075,35.65,90.0,top
D304,89.125,59.775,180.0,top
D401,58.88,41.61,270.0,top
FID301,86.375,53.7,0.0,top
FID401,60.3,58.0,0.0,top
G201,14.0,70.9,0.0,bottom
G202,36.0,70.9,0.0,bottom
G301,82.1,70.9,0.0,bottom
J201,14.0,64.3,0.0,top
J202,25.0,17.5,0.0,top
J203,36.0,64.3,0.0,top
J301,89.8,62.7379,90.0,top
J401,69.0,67.25,0.0,top
J403,58.92,37.6,180.0,top
J404,78.0,67.25,0.0,top
J406,51.0,67.25,0.0,top
J408,60.0,67.25,0.0,top
L301,89.0,46.25,270.0,top
L302,81.775,39.65,180.0,top
L303,88.425,39.65,0.0,top
NT301,83.875,42.75,180.0,top
Q401,77.0,63.2375,180.0,top
Q402,59.0,63.2375,180.0,top
R201,14.51,47.5,0.0,top
R202,36.51,47.5,0.0,top
R301,70.735,30.375,0.0,top
R302,70.735,32.875,180.0,top
R303,93.01,26.575,0.0,top
R304,83.725,52.97,270.0,top
R305,93.01,24.075,180.0,top
R306,81.725,52.96,270.0,top
R307,82.725,52.95,270.0,top
R308,65.25,44.67,90.0,top
R309,79.1,49.615,270.0,top
R310,78.1,49.615,90.0,top
R311,62.5,44.65,270.0,top
R312,87.31,50.815,90.0,top
R313,86.325,50.815,270.0,top
R401,68.0,66.2525,270.0,top
R402,68.0,64.3325,90.0,top
R403,70.5,64.3325,270.0,top
R404,78.825,62.7275,270.0,top
R405,77.175,61.3025,90.0,top
R406,76.175,61.3025,270.0,top
R407,75.175,61.8275,90.0,top
R408,75.175,63.7475,90.0,top
R409,77.0,65.7125,270.0,top
R410,50.0,66.2775,270.0,top
R411,50.0,64.3775,90.0,top
R412,52.5,64.3775,270.0,top
R413,60.824998,62.727499,270.0,top
R414,59.149999,61.3125,90.0,top
R415,58.174999,61.3125,270.0,top
R416,57.174999,61.8275,90.0,top
R417,57.179999,63.7425,90.0,top
R418,59.0,65.7125,270.0,top
U201,25.0,39.0,0.0,top
U301,75.275,26.35,0.0,top
U302,85.35,26.345,180.0,top
U303,82.725,49.125,180.0,top
U304,69.52,49.19,90.0,top
U401,58.799999,54.0,225.0,top
