Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202",0603,2,150p,
"C203, C204",0603,2,39n,
"C205, C206, C401, C402, C403, C404, C405, C406, C409, C410, C412, C413, C415, C416, C501, C502, C503, C504, C505, C506",0402,20,100n,
"C207, C209, C211, C304, C305, C309",0603,6,1u,
"C301, C302, C306, C307, C310",0805,5,12u,
C303,0603,1,680p,
"C407, C408",0402,2,15p,
"C411, C414, C507, C508, C509",0402,5,1u,
D301,D_PowerDI-123,1,DFLS240L-7,
D302,BOURNS_CD_HD2x,1,CD-HD2004,
D303,D_PowerDI-123_THERMAL_PAD,1,DFLS240L-7,
"D305, D306, D407, D410",0603,4,RED,
"D401, D402, D404, D406, D501, D502, D503, D504, D505, D506, D510, D511, D512, D513, D514, D515",D_SOD-882D,16,DESD3V3S1BL-7B,
"D403, D408",0603,2,GREEN,
"D405, D409",0603,2,YELLOW,
"F301, F302",1210,2,MF-USHT020KX-2,
"FID201, FID301, FID401",Fiducial_0.5mm_Mask1mm,3,FIDUCIAL,
"G201, G202, G301",Harwin_EMI_Finger_S7061-46R,3,CHASSIS,
"J201, J202",Amphenol_ACJS-IHS,2,ACJS-IHS,
"J203, J204, J205",TE_6-440054-5,3,59453-121110ECHLF,
J302,MOLEX_MINIFITJR_RA_2P_1726480102,1,1726480102,
J401,PinHeader_2x02_P2.54mm_Vertical_SMD,1,2x2 PIN HEADER,
J402,GCT_USB4110GFA,1,USB4105-GF-A,
"J501, J502, J503, J507, J508, J509",TE_HPI_2.0MM_PITCH_MALE_HEADER_2POS,6,6-440054-2,
L301,EATON_DRQ73-220-R,1,22u,
"Q501, Q502, Q503",Diodes_DFN1006-3,3,DMN62D0LFB-7,
"R201, R202",0603,2,1M,
"R301, R304, R401, R504, R505, R506",0402,6,10k,
"R302, R309, R311",0402,3,750,
R303,0402,1,113k,
"R305, R306, R402, R403, R406",0402,5,1k,
"R307, R407, R408, R411, R412, R413, R414, R415, R501, R502, R503, R507, R508, R509",0402,14,120,
R308,0402,1,8.25k,
"R404, R405",0402,2,27.4,
"R409, R410",0402,2,5.1k,
"SW401, SW402",KMR441NG LFS,2,SW_PUSH,
"U201, U202",Texas_BQB0016A_WQFN-16,2,TMUX4053,
U301,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TPS61170,
"U302, U304",TO-252-2_THERMAL_PAD,2,NCP1117,
U401,DFN-8-1EP_6x5mm_P1.27mm_EP4x4mm_Thermal_vias,1,AT25SF128A-MHB-T,
U402,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_Thermal_Vias,1,RP2040,
Y401,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8-272-T3,
